"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 1980  To:  Dec 31, 2021",,,,
Ranking by Gender & Year,First Name,Frequency,Gender,Year
407,Jaime,4,Boy,1980
407,Jake,4,Boy,1980
407,Jarod,4,Boy,1980
407,Jeff,4,Boy,1980
407,Jens,4,Boy,1980
407,Jerome,4,Boy,1980
407,Joesph,4,Boy,1980
407,Jordie,4,Boy,1980
407,Jose,4,Boy,1980
407,Kai,4,Boy,1980
407,Ken,4,Boy,1980
407,Kristoffer,4,Boy,1980
407,Leigh,4,Boy,1980
407,Lenny,4,Boy,1980
407,Marty,4,Boy,1980
407,Max,4,Boy,1980
407,Mohamad,4,Boy,1980
407,Mohammed,4,Boy,1980
407,Omar,4,Boy,1980
407,Percy,4,Boy,1980
407,Quinn,4,Boy,1980
407,Rahim,4,Boy,1980
407,Ravinder,4,Boy,1980
407,Reed,4,Boy,1980
407,Robby,4,Boy,1980
407,Roberto,4,Boy,1980
407,Robyn,4,Boy,1980
407,Rocky,4,Boy,1980
407,Rodger,4,Boy,1980
407,Ryley,4,Boy,1980
407,Samir,4,Boy,1980
407,Sherman,4,Boy,1980
407,Tarek,4,Boy,1980
407,Trever,4,Boy,1980
407,Weston,4,Boy,1980
469,Ace,3,Boy,1980
469,Alex,3,Boy,1980
469,Alistair,3,Boy,1980
469,Aman,3,Boy,1980
469,Amit,3,Boy,1980
469,Anil,3,Boy,1980
469,Anton,3,Boy,1980
469,Ayman,3,Boy,1980
469,Benson,3,Boy,1980
469,Bjorn,3,Boy,1980
469,Brennan,3,Boy,1980
469,Bret,3,Boy,1980
469,Brooke,3,Boy,1980
469,Burke,3,Boy,1980
469,Burton,3,Boy,1980
469,Carey,3,Boy,1980
469,Carson,3,Boy,1980
469,Cary,3,Boy,1980
469,Che,3,Boy,1980
469,Chester,3,Boy,1980
469,Cordell,3,Boy,1980
469,Cristopher,3,Boy,1980
469,Dalton,3,Boy,1980
469,Darius,3,Boy,1980
469,Dereck,3,Boy,1980
469,Derick,3,Boy,1980
469,Domenico,3,Boy,1980
469,Draper,3,Boy,1980
469,Edmund,3,Boy,1980
469,Emmanuel,3,Boy,1980
469,Errol,3,Boy,1980
469,Ethan,3,Boy,1980
469,Fabian,3,Boy,1980
469,Faron,3,Boy,1980
469,Fredrick,3,Boy,1980
469,Gaetan,3,Boy,1980
469,Gareth,3,Boy,1980
469,Garret,3,Boy,1980
469,Geoffery,3,Boy,1980
469,Giovanni,3,Boy,1980
469,Grayson,3,Boy,1980
469,Greggory,3,Boy,1980
469,Hayden,3,Boy,1980
469,Hugh,3,Boy,1980
469,Jagdeep,3,Boy,1980
469,Jamieson,3,Boy,1980
469,Jarett,3,Boy,1980
469,Jaron,3,Boy,1980
